filename,question,position,n_events,bm25_n_selected,bm25_n_hits,bm25_precision,bm25_filtered_n_selected,bm25_filtered_n_hits,bm25_filtered_precision,dense_n_selected,dense_n_hits,dense_precision,ce_n_selected,ce_n_hits,ce_precision,qccs_n_selected,qccs_n_hits,qccs_precision
126705564.xml,What antihypertensives does she take?,0.914044152184124,1993,25,6,0.24,25,10,0.4,24,7,0.2916666666666667,25,11,0.44,20,0,0.0
126289805.xml,Does she do any drugs?,0.504,329,25,19,0.76,24,20,0.8333333333333334,25,18,0.72,25,19,0.76,20,0,0.0
125619898.xml,Has this person seen neurology before?,0.6762589928057554,106,24,16,0.6666666666666666,24,13,0.5416666666666666,24,17,0.7083333333333334,25,10,0.4,20,0,0.0
125298501.xml,How long has she had a hemoglobin a1c over 6?,0.8309012875536481,1035,25,18,0.72,25,18,0.72,25,19,0.76,25,20,0.8,20,0,0.0
125802130.xml,Has she had a history of depression?,0.4204545454545454,69,23,14,0.6086956521739131,23,14,0.6086956521739131,23,13,0.5652173913043478,25,7,0.28,20,0,0.0
126358217.xml,Who is the resident doctor who last saw this patient?,0.7321509777171441,1954,25,12,0.48,25,15,0.6,25,13,0.52,25,17,0.68,20,0,0.0
124691610.xml,Which MR contrast agents were used in this patient in the past?,0.146690518783542,888,25,22,0.88,25,22,0.88,23,11,0.4782608695652174,24,21,0.875,20,0,0.0
125718675.xml,List all previous MR examinations in this patient that depicted the liver.,0.4564102564102564,512,24,12,0.5,24,15,0.625,25,13,0.52,25,19,0.76,20,0,0.0
125191041.xml,Was a decline in kidney function observed after iodinated contrast agent adminis,0.0384615384615384,193,24,14,0.5833333333333334,23,14,0.6086956521739131,24,16,0.6666666666666666,24,16,0.6666666666666666,20,0,0.0
126412809.xml,This report contains measurements of target lesions in this patient with lung ca,0.9513020833333332,3458,25,1,0.04,25,11,0.44,25,0,0.0,25,17,0.68,20,0,0.0
126724211.xml,We were not able to perform the scheduled MRI exam in this patient due to claust,0.6244798890429958,2637,25,16,0.64,25,17,0.68,25,16,0.64,25,19,0.76,20,0,0.0
126999848.xml,Was antibiotic treatment initiated in this patient within the past month?,0.9611451942740288,392,25,11,0.44,24,11,0.4583333333333333,25,5,0.2,25,8,0.32,20,0,0.0
127882600.xml,What are this patient's current clinical symptoms?,0.973655323819978,747,25,6,0.24,25,7,0.28,25,4,0.16,25,4,0.16,20,0,0.0
128126942.xml,This is a complex whole body PET/MR report. Provide a version of this report tha,0.8679950186799502,2825,25,18,0.72,25,23,0.92,25,13,0.52,25,20,0.8,20,0,0.0
128163935.xml,Does this patient receive treatment for hyperthyroidism?,0.8378378378378378,172,24,16,0.6666666666666666,24,16,0.6666666666666666,24,13,0.5416666666666666,25,6,0.24,20,0,0.0
124978474.xml,I have seen an abdominal CT exam if a female patient with diverticulitis today. ,0.5929319371727748,697,25,12,0.48,25,14,0.56,25,9,0.36,25,10,0.4,20,0,0.0
124915919.xml,What is due for patient's health maintenance,0.840782122905028,314,25,21,0.84,25,22,0.88,25,22,0.88,25,22,0.88,20,0,0.0
128275759.xml,"has this patient ever had a colonoscopy? if so, when was it and what were the fi",0.6538461538461539,337,25,18,0.72,25,20,0.8,25,19,0.76,25,10,0.4,20,0,0.0
127203907.xml,"Summarize the patient's fluid intake and output measurements, including intraven",0.4580369843527738,648,25,2,0.08,25,3,0.12,25,1,0.04,25,3,0.12,20,0,0.0
127159232.xml,This is the report of the last oncologic PET/MR examination. Please list items t,0.0587496072887213,2921,25,15,0.6,25,15,0.6,25,15,0.6,25,17,0.68,20,0,0.0
126999848.xml,What are this patient's age and weight?,0.4110429447852761,392,25,8,0.32,24,9,0.375,25,0,0.0,25,9,0.36,20,0,0.0
126110968.xml,Is the patient ordered to have nothing after midnight?,0.8026246719160105,1725,24,16,0.6666666666666666,24,17,0.7083333333333334,25,14,0.56,25,17,0.68,20,0,0.0
124602840.xml,Who is the patient's medical decision maker?,0.4191343963553531,388,25,20,0.8,25,21,0.84,25,17,0.68,25,15,0.6,20,0,0.0
126775072.xml,This is a screening mammography. Breast density on both sides category A. BIRADS,0.6409395973154363,781,25,20,0.8,25,20,0.8,25,19,0.76,25,20,0.8,20,0,0.0
126630417.xml,Please compile the patient's current social determinants of health risks from no,0.91995841995842,860,25,20,0.8,25,20,0.8,25,14,0.56,25,20,0.8,20,0,0.0
127297833.xml,summarize the anti-lipemic medications this patient has tried,0.039727582292849,735,25,13,0.52,25,17,0.68,25,15,0.6,25,20,0.8,20,0,0.0
127567043.xml,Please summarize this patient's last abdominal CT report.,0.6670146137787056,893,25,4,0.16,24,8,0.3333333333333333,25,7,0.28,25,11,0.44,20,0,0.0
126394715.xml,Does this radiology report contain a new diagnosis of cancer?,0.8552631578947368,345,25,16,0.64,25,18,0.72,25,14,0.56,25,15,0.6,20,0,0.0
126637006.xml,Should prostate cancer screening be considered for this patient?,0.6336325966850829,2528,25,21,0.84,25,21,0.84,25,19,0.76,25,20,0.8,20,0,0.0
126630417.xml,Would this patient benefit from any interventions to address social determinants,0.91995841995842,860,25,20,0.8,25,20,0.8,25,14,0.56,25,18,0.72,20,0,0.0
125513857.xml,Could this patient's symptoms be attributed to a side effect of one of their cur,0.0557801131770412,1156,25,20,0.8,25,20,0.8,25,19,0.76,25,20,0.8,20,0,0.0
128065252.xml,Is any additional testing or screening recommended for this patient due to an el,0.1101973684210526,566,25,18,0.72,25,20,0.8,25,19,0.76,25,16,0.64,20,0,0.0
128478486.xml,Summarize the patient's care team including primary care and specialist provider,0.5070943861813695,1325,25,0,0.0,25,0,0.0,25,0,0.0,25,0,0.0,20,0,0.0
128065252.xml,Does this patient have any significant family history mentioned in their chart t,0.1101973684210526,566,25,20,0.8,25,20,0.8,25,14,0.56,25,19,0.76,20,0,0.0
127116955.xml,Identify the tests and screening interval recommended for this patient for breas,0.0322164948453608,2031,25,20,0.8,25,20,0.8,25,20,0.8,25,20,0.8,20,0,0.0
127116955.xml,What cervical cancer screening testing and interval is recommended for this pati,0.636168384879725,2031,25,20,0.8,25,20,0.8,25,16,0.64,25,20,0.8,20,0,0.0
128035286.xml,Has this patient been hospitalized previously? If so what were the reasons for h,0.1976284584980237,222,24,22,0.9166666666666666,24,24,1.0,25,19,0.76,25,12,0.48,20,8,0.4
128065252.xml,Is this patient at elevated risk for osteoporosis?,0.0148026315789473,566,25,13,0.52,25,14,0.56,25,12,0.48,25,14,0.56,20,0,0.0
125582204.xml,Are there any contraindications to use of NSAIDs for this patient?,0.6004464285714286,1181,25,12,0.48,25,15,0.6,25,14,0.56,25,18,0.72,20,0,0.0
128309987.xml,Summarize the upcoming visits for this patient in the next 6 months and the purp,0.9757023538344722,1094,25,17,0.68,25,20,0.8,25,19,0.76,25,20,0.8,20,0,0.0
124724147.xml,"Check this long CT report for inconsistencies, e.g. check if the reported sides ",0.0942528735632183,1159,25,23,0.92,25,23,0.92,25,22,0.88,25,23,0.92,20,0,0.0
